name,price
"Xerjoff Naxos Xj 1861 EDP - 2ml Spray (30 Sprays),Xerjoff Naxos Xj 1861 EDP - 5ml Spray (75 Sprays),Xerjoff Naxos Xj 1861 EDP - 10ml Spray (150 Sprays)","[15.0, 30.0, 55.0]"
"Viktor&Rolf Spicebomb Night Vision EDP - 5ml Spray (75 Sprays),Viktor&Rolf Spicebomb Night Vision EDP - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Viktor&Rolf Spicebomb Extreme - 5ml Spray (75 Sprays),Viktor&Rolf Spicebomb Extreme - 10ml Spray (150 Sprays)","[18.0, 30.0]"
"Versace Pour Homme - 5ml Spray (75 Sprays),Versace Pour Homme - 10ml Spray (150 Sprays)","[14.0, 22.0]"
"Versace Eros EDT - 5ml Spray (75 Sprays),Versace Eros EDT - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Versace Dylan Blue - 5ml Spray (75 Sprays),Versace Dylan Blue - 10ml Spray (150 Sprays)","[14.0, 22.0]"
"Versace Bright Crystal EDT - 5ml Spray (75 Sprays),Versace Bright Crystal EDT - 10ml Spray (150 Sprays)","[12.0, 20.0]"
"Versace Eros EDP - 5ml Spray (75 Sprays),Versace Eros EDP - 10ml Spray (150 Sprays)","[15.0, 25.0]"
"Mont Blanc Explorer EDP - 5ml Spray (75 Sprays),Mont Blanc Explorer EDP - 10ml Spray (150 Sprays)","[10.0, 18.0]"
"Marc Jacobs Daisy Dream - 5ml Spray (75 Sprays),Marc Jacobs Daisy Dream - 10ml Spray (150 Sprays)","[14.0, 22.0]"
"Top 5 Fragrance Gift Set (Unisex) - 5ml Spray (75 Sprays),Top 5 Fragrance Gift Set (Unisex) - 10ml Spray (150 Sprays),Top 5 Fragrance Gift Set (Unisex) - 5ml Spray (75 Sprays) + Name Customization,Top 5 Fragrance Gift Set (Unisex) - 10ml Spray (75 Sprays) + Name Customization","[110.0, 210.0, 120.0, 220.0]"
"Top 5 Fragrance Gift Set (Men's) - 5ml Sprays (75 Sprays),Top 5 Fragrance Gift Set (Men's) - 10ml Sprays (150 Sprays),Top 5 Fragrance Gift Set (Men's) - 5ml Sprays (75 Sprays) + Name Customization,Top 5 Fragrance Gift Set (Men's) - 10ml Sprays (150 Sprays) + Name Customization","[100.0, 180.0, 110.0, 190.0]"
